,Nazwy,Opis,Id,Szerokosc,Wysokosc,Sredni kolor,Mediana jasnosci,Poziomy najjasniejszego,Pionowy najjasniejszego
0,stock-photo-close-up-top-view-of-young-business-people-putting-their-hands-together-stack-of-hands-unity-and-1498583432.jpg,close up top view of young business people putting their hands together stack of hands unity and,1498583432,1500,940,[150.33435106 159.32835745 172.64649645],0.720221568627451,939,1499
1,stock-photo-nature-shots-for-the-pros-1506854450.jpg,nature shots for the pros,1506854450,1500,1101,[ 90.36532304 102.5837033  109.11656434],0.3064674509803922,1100,1499
2,stock-photo-lipstick-smear-smudge-swatch-isolated-on-white-background-cream-makeup-texture-bright-red-color-1471402472.jpg,lipstick smear smudge swatch isolated on white background cream makeup texture bright red color,1471402472,1500,915,[217.76155483 170.2532204  172.82903024],1.0,914,1499
3,stock-photo-closeup-view-of-woman-with-drawn-flowers-on-green-chalkboard-space-for-text-teacher-s-day-1508523470.jpg,closeup view of woman with drawn flowers on green chalkboard space for text teacher s day,1508523470,1500,1101,[35.41184741 72.42483015 56.3319455 ],0.2218450980392157,1100,1499
4,stock-photo-zombie-rising-out-of-a-graveyard-cemetery-in-spooky-dark-night-full-moon-holiday-event-halloween-1492357433.jpg,zombie rising out of a graveyard cemetery in spooky dark night full moon holiday event halloween,1492357433,1500,1101,[47.47132788 64.83295852 81.42522858],0.18424823529411766,1100,1499
5,stock-photo-october-breast-cancer-awareness-month-woman-in-pink-t-shirt-with-hand-holding-pink-ribbon-for-1505793707.jpg,october breast cancer awareness month woman in pink t shirt with hand holding pink ribbon for,1505793707,1500,760,[191.06871404 137.74961228 156.71053596],0.6142796078431373,759,1499
6,stock-photo-nice-attractive-stylish-cheerful-cheery-positive-carefree-guys-ladies-having-fun-hanging-out-best-1436812790.jpg,nice attractive stylish cheerful cheery positive carefree guys ladies having fun hanging out best,1436812790,1500,1101,[ 65.12978202  68.1249234  116.95715531],0.1813078431372549,1100,1499
7,stock-photo-happy-family-mother-father-children-son-and-daughter-on-nature-on-sunset-1438256546.jpg,happy family mother father children son and daughter on nature on sunset,1438256546,1500,1024,[173.92403125 153.8652819  121.89294792],0.6278150980392156,1023,1499
8,stock-photo-top-view-of-beautiful-young-woman-sleeping-cozily-on-a-bed-in-his-bedroom-at-night-blue-nightly-1427337869.jpg,top view of beautiful young woman sleeping cozily on a bed in his bedroom at night blue nightly,1427337869,1500,945,[32.21170088 44.92429771 53.38761481],0.13974,944,1499
9,stock-photo-skeleton-zombie-hands-rising-out-of-a-cemetery-halloween-background-1495866737.jpg,skeleton zombie hands rising out of a cemetery halloween background,1495866737,1500,790,[ 79.13039831  97.81092911 104.23222278],0.3415494117647059,789,1499
10,stock-photo-hurricane-dorian-in-the-carribean-sea-on-its-way-to-us-mainland-in-august-elements-of-this-1492317566.jpg,hurricane dorian in the carribean sea on its way to us mainland in august elements of this,1492317566,1500,1101,[ 82.22452861  89.27925341 102.35578383],0.23763764705882354,1100,1499
11,stock-photo-young-joyful-casual-family-of-two-kids-and-couple-sitting-on-sofa-and-watching-funny-video-or-1499295359.jpg,young joyful casual family of two kids and couple sitting on sofa and watching funny video or,1499295359,1500,1101,[184.20725583 165.1299449  150.26161368],0.7235309803921568,1100,1499
12,stock-photo-sky-background-on-sunset-nature-abstract-composition-1484678003.jpg,sky background on sunset nature abstract composition,1484678003,1500,1080,[127.06730432 165.44296543 187.59124568],0.6408423529411765,1079,1499
13,stock-photo-architect-team-having-a-discussion-1380294050.jpg,architect team having a discussion,1380294050,1500,945,[105.74683245  96.59588924  89.41376085],0.29701058823529414,944,1499
14,stock-photo-view-of-moon-limb-with-earth-rising-on-the-horizon-footprints-as-an-evidence-of-people-being-there-1454730908.jpg,view of moon limb with earth rising on the horizon footprints as an evidence of people being there,1454730908,1500,1101,[60.34542113 61.5444396  61.12141992],0.1813078431372549,1100,1499
15,stock-photo-smart-city-and-abstract-dot-point-connect-with-gradient-line-and-aesthetic-intricate-wave-line-1499306735.jpg,smart city and abstract dot point connect with gradient line and aesthetic intricate wave line,1499306735,1500,724,[52.55219613 63.77828821 83.8244825 ],0.19040196078431376,723,1499
16,stock-photo-adult-and-child-hands-holding-red-heart-heart-health-donation-happy-volunteer-charity-csr-1487364161.jpg,adult and child hands holding red heart heart health donation happy volunteer charity csr,1487364161,1500,1101,[156.17867938 164.24507296 158.74056191],0.7717121568627451,1100,1499
17,stock-photo-close-up-of-two-businessmen-shaking-hands-in-modern-city-with-double-exposure-of-business-people-1452180959.jpg,close up of two businessmen shaking hands in modern city with double exposure of business people,1452180959,1500,1101,[161.04649167 170.04460006 188.63827975],0.7458211764705883,1100,1499
18,stock-photo-happy-dussehra-greeting-card-green-leaf-rice-1497972686.jpg,happy dussehra greeting card green leaf rice,1497972686,1500,1101,[208.3631208  156.8059891   33.11795459],0.6984478431372548,1100,1499
19,stock-photo-suicide-prevention-and-childhood-cancer-awareness-yellow-ribbon-for-supporting-people-living-and-1482160559.jpg,suicide prevention and childhood cancer awareness yellow ribbon for supporting people living and,1482160559,1500,1101,[207.49902816 200.04516742 189.81397215],0.9269266666666667,1100,1499
